0
6
0056_FOXA1	0048_KMT2D	0037_ESR1_2	0079_ER	0001_ER_transcription	0060_PBX1
0	0	0	0	0	0	0
1	0	0	0	0	0	0
0	1	0	0	0	0	0
1	1	0	0	0	0	0
0	0	1	0	0	0	0
1	0	1	0	0	0	0
0	1	1	0	0	0	0
1	1	1	0	0	0	0
0	0	0	1	0	0	0
1	0	0	1	0	0	0
0	1	0	1	0	0	0
1	1	0	1	0	0	0
0	0	1	1	0	0	0
1	0	1	1	0	0	0
0	1	1	1	0	0	0
1	1	1	1	0	0	0
0	0	0	0	1	0	0
1	0	0	0	1	0	0
0	1	0	0	1	0	0
1	1	0	0	1	0	0
0	0	1	0	1	0	0
1	0	1	0	1	0	0
0	1	1	0	1	0	0
1	1	1	0	1	0	0
0	0	0	1	1	0	0
1	0	0	1	1	0	0
0	1	0	1	1	0	0
1	1	0	1	1	0	0
0	0	1	1	1	0	0
1	0	1	1	1	0	0
0	1	1	1	1	0	0
1	1	1	1	1	0	0
0	0	0	0	0	1	0
1	0	0	0	0	1	0
0	1	0	0	0	1	0
1	1	0	0	0	1	0
0	0	1	0	0	1	0
1	0	1	0	0	1	0
0	1	1	0	0	1	0
1	1	1	0	0	1	0
0	0	0	1	0	1	0
1	0	0	1	0	1	0
0	1	0	1	0	1	0
1	1	0	1	0	1	0
0	0	1	1	0	1	0
1	0	1	1	0	1	0
0	1	1	1	0	1	0
1	1	1	1	0	1	0
0	0	0	0	1	1	0
1	0	0	0	1	1	0
0	1	0	0	1	1	0
1	1	0	0	1	1	0
0	0	1	0	1	1	0
1	0	1	0	1	1	0
0	1	1	0	1	1	0
1	1	1	0	1	1	0
0	0	0	1	1	1	0
1	0	0	1	1	1	0
0	1	0	1	1	1	0
1	1	0	1	1	1	0
0	0	1	1	1	1	0
1	0	1	1	1	1	0
0	1	1	1	1	1	0
1	1	1	1	1	1	1
